Fecha,Ejercicio, Precio 
13/11/21,2021, 42.265625 
16/11/21,2021, 41.655172 
17/11/21,2021, 43.626086 
18/11/21,2021, 42.870000 
19/11/21,2021, 42.212765 
20/11/21,2021, 41.771739 
22/11/21,2021, 41.828571 
23/11/21,2021, 42.004901 
24/11/21,2021, 42.984375 
25/11/21,2021, 42.385321 
26/11/21,2021, 41.988505 
27/11/21,2021, 39.880000 
29/11/21,2021, 41.840909 
30/11/21,2021, 43.540816 
01/12/21,2021, 42.504000 
02/12/21,2021, 44.507812 
03/12/21,2021, 45.365591 
04/12/21,2021, 44.550000 
06/12/21,2021, 48.101010 
07/12/21,2021, 47.845454 
08/12/21,2021, 48.768000 
09/12/21,2021, 49.540000 
10/12/21,2021, 49.513761 
11/12/21,2021, 49.284090 
13/12/21,2021, 51.728070 
14/12/21,2021, 53.507246 
15/12/21,2021, 53.452702 
16/12/21,2021, 53.977777 
17/12/21,2021, 53.151041 
18/12/21,2021, 55.854166 
20/12/21,2021, 58.728187 
21/12/21,2021, 59.018181 
22/12/21,2021, 58.200000 
23/12/21,2021, 59.150273 
24/12/21,2021, 61.063829 
27/12/21,2021, 61.144736 
28/12/21,2021, 62.172185 
29/12/21,2021, 62.978142 
30/12/21,2021, 62.018656 
31/12/21,2021, 56.366666 
03/01/22,2022, 55.783783 
04/01/22,2022, 53.108333 
05/01/22,2022, 52.698113 
06/01/22,2022, 52.341666 
07/01/22,2022, 53.326732 
08/01/22,2022, 52.222222 
10/01/22,2022, 53.941176 
11/01/22,2022, 54.275590 
12/01/22,2022, 55.411764 
13/01/22,2022, 55.447154 
14/01/22,2022, 55.963709 
15/01/22,2022, 56.529761 
17/01/22,2022, 58.081632 
18/01/22,2022, 57.621323 
19/01/22,2022, 58.707142 
20/01/22,2022, 59.195312 
21/01/22,2022, 59.553571 
22/01/22,2022, 55.307692 
24/01/22,2022, 53.803571 
25/01/22,2022, 53.950000 
26/01/22,2022, 53.920731 
27/01/22,2022, 51.840659 
28/01/22,2022, 52.257575 
29/01/22,2022, 52.778846 
31/01/22,2022, 54.076923 
01/02/22,2022, 53.310810 
02/02/22,2022, 53.333333 
03/02/22,2022, 55.423076 
04/02/22,2022, 54.833333 
05/02/22,2022, 56.370689 
08/02/22,2022, 58.277777 
09/02/22,2022, 59.524590 
10/02/22,2022, 60.087301 
11/02/22,2022, 58.866071 
19/02/22,2022, 61.965517 
21/02/22,2022, 61.908333 
22/02/22,2022, 61.128205 
23/02/22,2022, 63.875000 
24/02/22,2022, 64.135416 
25/02/22,2022, 63.587786 
26/02/22,2022, 64.371681 
28/02/22,2022, 63.990740 
01/03/22,2022, 65.441860 
02/03/22,2022, 66.000000 
03/03/22,2022, 64.627272 
04/03/22,2022, 64.659482 
05/03/22,2022, 64.866666 
07/03/22,2022, 63.043956 
08/03/22,2022, 64.488372 
09/03/22,2022, 64.952380 
10/03/22,2022, 65.842857 
11/03/22,2022, 65.428571 
12/03/22,2022, 64.500000 
14/03/22,2022, 63.842105 
15/03/22,2022, 64.750000 
16/03/22,2022, 63.378787 
17/03/22,2022, 63.581081 
18/03/22,2022, 63.363636 
19/03/22,2022, 63.742857 
22/03/22,2022, 63.000000 
23/03/22,2022, 62.662500 
24/03/22,2022, 62.968421 
25/03/22,2022, 63.558139 
26/03/22,2022, 61.739583 
28/03/22,2022, 63.571428 
29/03/22,2022, 65.005434 
30/03/22,2022, 64.789772 
31/03/22,2022, 65.031914 
01/04/22,2022, 65.126582 
02/04/22,2022, 65.527272 
04/04/22,2022, 70.597222 
05/04/22,2022, 71.735849 
06/04/22,2022, 73.362831 
07/04/22,2022, 74.766666 
08/04/22,2022, 71.808000 
09/04/22,2022, 77.662162 
11/04/22,2022, 83.714285 
12/04/22,2022, 81.822580 
13/04/22,2022, 92.122807 
14/04/22,2022, 90.000000 
18/04/22,2022, 94.394736 
19/04/22,2022, 99.235714 
20/04/22,2022, 100.500000 
21/04/22,2022, 100.395348 
22/04/22,2022, 100.526717 
23/04/22,2022, 98.677419 
25/04/22,2022, 96.627272 
26/04/22,2022, 95.233644 
27/04/22,2022, 93.979674 
28/04/22,2022, 91.207207 
29/04/22,2022, 91.041095 
30/04/22,2022, 81.857142 
02/05/22,2022, 82.686274 
03/05/22,2022, 81.000000 
04/05/22,2022, 79.180000 
05/05/22,2022, 79.259259 
06/05/22,2022, 75.809523 
07/05/22,2022, 76.272727 
09/05/22,2022, 79.923076 
10/05/22,2022, 78.416666 
11/05/22,2022, 79.188679 
12/05/22,2022, 79.500000 
13/05/22,2022, 83.066666 
14/05/22,2022, 86.153846 
16/05/22,2022, 94.548387 
17/05/22,2022, 94.131147 
18/05/22,2022, 97.644736 
19/05/22,2022, 99.382352 
20/05/22,2022, 98.111111 
21/05/22,2022, 98.631578 
23/05/22,2022, 97.810810 
24/05/22,2022, 96.893617 
25/05/22,2022, 96.516666 
26/05/22,2022, 96.938461 
27/05/22,2022, 97.112676 
28/05/22,2022, 94.629629 
30/05/22,2022, 95.450000 
31/05/22,2022, 96.527777 
01/06/22,2022, 95.416666 
02/06/22,2022, 96.166666 
03/06/22,2022, 91.647058 
04/06/22,2022, 90.000000 
06/06/22,2022, 90.210526 
07/06/22,2022, 87.083333 
08/06/22,2022, 93.970588 
09/06/22,2022, 97.383720 
10/06/22,2022, 96.909090 
11/06/22,2022, 95.714285 
13/06/22,2022, 107.666666 
14/06/22,2022, 107.954545 
15/06/22,2022, 113.177777 
16/06/22,2022, 104.133333 
17/06/22,2022, 104.250000 
18/06/22,2022, 114.500000 
20/06/22,2022, 97.779411 
21/06/22,2022, 97.293103 
22/06/22,2022, 96.400000 
23/06/22,2022, 96.882352 
24/06/22,2022, 96.088888 
25/06/22,2022, 95.058823 
27/06/22,2022, 88.083916 
28/06/22,2022, 75.613636 
29/06/22,2022, 63.441441 
30/06/22,2022, 52.315789 
01/07/22,2022, 45.315789 
02/07/22,2022, 50.111111 
04/07/22,2022, 42.465116 
05/07/22,2022, 44.914893 
06/07/22,2022, 47.250000 
07/07/22,2022, 48.633333 
08/07/22,2022, 51.250000 
09/07/22,2022, 52.523809 
11/07/22,2022, 58.430107 
12/07/22,2022, 58.595744 
13/07/22,2022, 56.675675 
14/07/22,2022, 52.716417 
15/07/22,2022, 46.828571 
16/07/22,2022, 45.884615 
18/07/22,2022, 45.789473 
19/07/22,2022, 47.066666 
20/07/22,2022, 46.150000 
21/07/22,2022, 44.172413 
22/07/22,2022, 43.821428 
23/07/22,2022, 42.631578 
25/07/22,2022, 43.980392 
26/07/22,2022, 41.293103 
27/07/22,2022, 40.933333 
28/07/22,2022, 40.955223 
29/07/22,2022, 40.929411 
30/07/22,2022, 42.825000 
01/08/22,2022, 43.746478 
02/08/22,2022, 43.131868 
03/08/22,2022, 43.481927 
04/08/22,2022, 44.072727 
05/08/22,2022, 43.906542 
06/08/22,2022, 43.500000 
08/08/22,2022, 43.734513 
09/08/22,2022, 41.608490 
10/08/22,2022, 39.000000 
11/08/22,2022, 37.568181 
12/08/22,2022, 34.857142 
13/08/22,2022, 34.352941 
15/08/22,2022, 33.166666 
16/08/22,2022, 31.875000 
17/08/22,2022, 33.351851 
18/08/22,2022, 33.837209 
19/08/22,2022, 32.428571 
20/08/22,2022, 32.157894 
22/08/22,2022, 31.738461 
23/08/22,2022, 31.366972 
24/08/22,2022, 30.904761 
25/08/22,2022, 30.470588 
26/08/22,2022, 29.840000 
27/08/22,2022, 29.600000 
29/08/22,2022, 30.120000 
30/08/22,2022, 29.041666 
31/08/22,2022, 29.183908 
01/09/22,2022, 29.034090 
02/09/22,2022, 29.434579 
03/09/22,2022, 29.720000 
05/09/22,2022, 29.400000 
06/09/22,2022, 29.282608 
07/09/22,2022, 28.971962 
08/09/22,2022, 27.680555 
09/09/22,2022, 25.872340 
10/09/22,2022, 26.210526 
12/09/22,2022, 24.261363 
13/09/22,2022, 23.452991 
14/09/22,2022, 22.538043 
15/09/22,2022, 22.073170 
17/09/22,2022, 22.500000 
19/09/22,2022, 21.953125 
20/09/22,2022, 21.963636 
21/09/22,2022, 22.000000 
22/09/22,2022, 22.190476 
23/09/22,2022, 23.060344 
24/09/22,2022, 23.060975 
26/09/22,2022, 24.196428 
27/09/22,2022, 24.951807 
28/09/22,2022, 25.533333 
29/09/22,2022, 25.566265 
30/09/22,2022, 26.102564 
01/10/22,2022, 26.916666 
03/10/22,2022, 28.418478 
04/10/22,2022, 28.878612 
05/10/22,2022, 27.912000 
06/10/22,2022, 26.211267 
07/10/22,2022, 24.973214 
08/10/22,2022, 25.250000 
10/10/22,2022, 23.810344 
11/10/22,2022, 23.600000 
12/10/22,2022, 24.061538 
13/10/22,2022, 23.988372 
14/10/22,2022, 23.596491 
15/10/22,2022, 23.897435 
17/10/22,2022, 23.515625 
18/10/22,2022, 23.672413 
19/10/22,2022, 23.462365 
20/10/22,2022, 23.463917 
21/10/22,2022, 23.513888 
22/10/22,2022, 23.983333 
24/10/22,2022, 24.280000 
25/10/22,2022, 24.007575 
26/10/22,2022, 24.000000 
27/10/22,2022, 24.056000 
28/10/22,2022, 23.188172 
29/10/22,2022, 23.140845 
31/10/22,2022, 23.548076 
01/11/22,2022, 24.111111 
02/11/22,2022, 24.500000 
03/11/22,2022, 23.583333 
04/11/22,2022, 22.904371 
05/11/22,2022, 23.005747 
07/11/22,2022, 22.843750 
08/11/22,2022, 22.287610 
